text,true_label,predicted_label
মার্চ ফর ইউনিটি’ কর্মসূচি পালন,politics,others
"দেয়ালে দেয়ালে ‘জয় বাংলা’ স্লোগান, সিসিটিভি ফুটেজে চাঞ্চল্যকর দৃশ্য",politics,entertainment
"মার্কিন অভিবাসন নীতির ওপর বিতর্ক, ট্রাম্প প্রশাসনের ভিন্নমত",politics,politics
বিশ্ব দরবারে বাংলাদেশের ভাবমূর্তির ওপর ভারতীয় থাবা,politics,politics
বান্দরবানে জঙ্গি বলে গ্রেপ্তার সেই ২৮ জনের জামিন বাতিল,crime,crime
"কারাগার থেকে পালানো ৭৯ ‘জঙ্গি’ এখনো পলাতক, তাঁদের ৯ জন সাজাপ্রাপ্ত",crime,crime
"ভোলায় আসামিকে গ্রেফতার করতে গিয়ে হামলা, পুলিশের দুই সদস্য আহত",crime,crime
বান্দরবান জেলা পরিষদ চেয়ারম্যানকে ‘প্রাণনাশের হুমকি’,crime,crime
মোহাম্মাদপুরে ছুরিকাঘাতে তরুণের মৃত্যু,crime,crime
রাজধানীতে বাস মালিককে কুপিয়ে হত্যা,crime,crime
"টেকনাফের নাফ নদীতে কোস্টগার্ডের সঙ্গে ‘মাদক কারবারিদের’ গোলাগুলি, একজন নিহত",crime,crime
"খ্রিষ্টীয় বর্ষবরণের রাতে গুলশান-বনানীর হোটেলে অভিযান, মদ ও বিয়ার উদ্ধার",crime,crime
দুর্গন্ধের উৎস খুঁজতে গিয়ে শ্বশুরবাড়িতে মিলল যুবকের লাশ,crime,crime
মেয়েকে নিয়ে ট্রেনের নিচে ঝাঁপ দিলেন বাক্‌প্রতিবন্ধী বাবা,crime,crime
আন্তর্জাতিক আদালতের প্রধান কৌঁসুলির সঙ্গে জুলাই-আগস্ট গণহত্যা নিয়ে আলোচনা,crime,politics
‘গণহত্যা’র বিচারে জাতিসংঘের সহযোগিতা চেয়েছে জামায়াত,crime,politics
কক্সবাজারে দুই তরুণীকে মারধর: জানা গেল সংঘবদ্ধ চক্রের তথ্য,crime,crime
"অটোরিকশার চালক সেজে ছিনতাই করেন তাঁরা, সংঘবদ্ধ চক্রের নাম ‌‌হামকা গ্রুপ",crime,crime
রংপুরে পি'স্ত'ল'স'হ ৪ তরুণ-তরুণীকে আটক করেছে তাজহাট থানা পুলিশ,crime,crime
পাবনায় সেনাবাহিনীর অভিযানে অস্ত্রসহ সন্ত্রাসী বাবু গ্রেফতার,crime,crime
বরিশালে মানব পাচার মামলায় প্রবাসী দুই ভাই ও ভাবির বিভিন্ন মেয়াদে কারাদণ্ড,crime,crime
মানব পাচার মামলায় চার দিনের রিমান্ডে মিল্টন সমাদ্দার,crime,crime
"৩ শিক্ষা বোর্ডে অডিটে গিয়ে ৩৯ লাখ টাকা ঘুষ নেওয়ার অভিযোগ, জমা হয় স্বজনের হিসাবে",corruption,corruption
"এনআইডি সংশোধনে ঘুষ লেনদেনের অভিযোগ, নির্বাচন ভবন এলাকায় দুদকের অভিযান",corruption,corruption
শেখ হাসিনার আমলে পাচার ২৮ লাখ কোটি টাকা,corruption,corruption
ই-অরেঞ্জের মাধ্যমে পাচার ৩৫৮ কোটি টাকা,corruption,corruption
"ছুটি কাটাতে মোটরসাইকেলে বাড়ি ফিরছিলেন, দুর্ঘটনায় তরুণ নিহত",accident,accident
"মাহফিল থেকে ফেরার পথে ট্রাকের সঙ্গে ধাক্কা, মোটরসাইকেলের ২ আরোহী নিহত",accident,accident
মধ্যরাতে সচিবালয়ে ভয়াবহ আগুন,accident,accident
"পুরানা পল্টনে একটি ভবনে আগুন, নিয়ন্ত্রণে কাজ করছে ৬ ইউনিট",accident,others
কনকনে শীতে বিপর্যস্ত উত্তরাঞ্চলের জনজীবন,accident,others
রাজধানীসহ দেশের বিভিন্ন স্থানে ভূমিকম্প অনুভূত হয়েছে,accident,others
"নারী সেজে ইমো অ্যাকাউন্ট হ্যাকিং, যুবকের পাঁচ বছরের কারাদণ্ড",cybercrime,cyber
"ওটিপি পাঠিয়ে ব্যাংক অ্যাকাউন্ট হ্যাকিং, সুরক্ষিত থাকতে যা করবেন",cybercrime,cyber
"ফেসবুক, হোয়াটসঅ্যাপ, টেলিগ্রামে বাড়ছে ‘পিগ বুচারিং’ প্রতারণা, নিরাপদ থাকবেন যেভাবে",cybercrime,cyber
ডেটিং অ্যাপে প্রতারণা থেকে নিরাপদ থাকবেন যেভাবে,cybercrime,cyber
"যৌনতা নিয়ে খোলামেলা আলাপ করে জনপ্রিয়, কে এই ৬২ বছর বয়সী ইউটিউবার",cybercrime,others
সোনার বিনিময়ে এই খনিতে বিক্রি হয় যৌনতা,cybercrime,crime
"২৬০০ কোটি ডেটা ফাঁস, বড় ধরনের সাইবার হামলার শঙ্কা",cybercrime,tech
এনআইডির তথ্য বিক্রি: ৪৬ ধরনের ব্যক্তিগত তথ্য ফাঁস,cybercrime,tech
সাইবার সুরক্ষা অধ্যাদেশ: সরকারের জবাবদিহির বিষয়টি স্পষ্ট নয়,cybercrime,tech
"ক্রোমের একাধিক এক্সটেনশনে সাইবার হামলা, ব্যবহারকারীদের তথ্য চুরির আশঙ্কা",cybercrime,tech
"ফেসবুকে পোস্ট শেয়ার করায় সাইবার নিরাপত্তা আইনে মামলা, তরুণ গ্রেপ্তার",cybercrime,cyber
অপব্যবহারের ঝুঁকি রয়েই গেল সাইবার সুরক্ষা অধ্যাদেশে,cybercrime,cyber
"ডার্ক ওয়েবের হাতছানি পড়ুয়াদের সামনে, অনলাইনে ক্লাস নিয়ে আরও সতর্ক হতে পরামর্শ বিশেষজ্ঞের",cybercrime,technology
"ডার্কওয়েবে রমরমা মাদকের কারবার, বাড়ছে উদ্বেগ",cybercrime,cyber
প্রায় ৩১ কোটি ডলারের বিটকয়েন চুরি করা হ্যাকার দলের পরিচয় শনাক্ত,cybercrime,tech
রেকর্ডের পর রেকর্ড গড়ার পর কমেছে বিটকয়েনের দাম,cybercrime,business
সামাজিক যোগাযোগমাধ্যমে ভুয়া ভিডিওর মাধ্যমে ছড়াচ্ছে স্বাস্থ্যবিষয়ক বিপজ্জনক তথ্য,cybercrime,cyber
ভুয়া তথ্য দিয়ে ই-পাসপোর্টও পান আজিজের দুই ভাই,cybercrime,crime
সুদ-ঘুষ নিয়ে বয়ান করায় ইমামকে চাকরি ছাড়তে বললেন সভাপতি,cybercrime,corruption
বান্দরবানে ত্রিপুরা খ্রিস্টান সম্প্রদায়ের ১৭টি বসতঘরে আগুন,cybercrime,crime
মিডিয়া পলিটিকস নিয়ে বিস্ফোরক দীঘি,entertainment,politics
রাজনৈতিক অস্থিরতার প্রভাব বিনোদন অঙ্গনে,entertainment,politics
"চ্যাম্পিয়নস ট্রফিতেও কামিন্সের খেলা নিয়ে সংশয়, কারণ...",entertainment,entertainment
"আফগানদের টুর্নামেন্ট-দর্শন: যে দেশে খেলা, সে দেশ থেকে ‘মেন্টর’",entertainment,others
"কোক খেলে মানুষের আয়ু কমে ১২ মিনিট, অন্যান্য ফাস্ট ফুডে কত",others,others
টিফ ২০২৪: মূল প্রতিযোগিতার বাইরের অন্যান্য দিক,others,others
