Broad Category,Subcategory,text
Politics,Political news,মার্চ ফর ইউনিটি’ কর্মসূচি পালন
Politics,Political news,"দেয়ালে দেয়ালে ‘জয় বাংলা’ স্লোগান, সিসিটিভি ফুটেজে চাঞ্চল্যকর দৃশ্য"
Politics,International and internal affairs,"মার্কিন অভিবাসন নীতির ওপর বিতর্ক, ট্রাম্প প্রশাসনের ভিন্নমত"
Politics,International and internal affairs,বিশ্ব দরবারে বাংলাদেশের ভাবমূর্তির ওপর ভারতীয় থাবা
Crime,Terrorism / Terrorist,বান্দরবানে জঙ্গি বলে গ্রেপ্তার সেই ২৮ জনের জামিন বাতিল
Crime,Terrorism / Terrorist,"কারাগার থেকে পালানো ৭৯ ‘জঙ্গি’ এখনো পলাতক, তাঁদের ৯ জন সাজাপ্রাপ্ত"
Crime,Extremism / Extremist,"ভোলায় আসামিকে গ্রেফতার করতে গিয়ে হামলা, পুলিশের দুই সদস্য আহত"
Crime,Extremism / Extremist,বান্দরবান জেলা পরিষদ চেয়ারম্যানকে ‘প্রাণনাশের হুমকি’
Crime,Murder / Homicide,মোহাম্মাদপুরে ছুরিকাঘাতে তরুণের মৃত্যু
Crime,Murder / Homicide,রাজধানীতে বাস মালিককে কুপিয়ে হত্যা
Crime,Narcotics,"টেকনাফের নাফ নদীতে কোস্টগার্ডের সঙ্গে ‘মাদক কারবারিদের’ গোলাগুলি, একজন নিহত"
Crime,Narcotics,"খ্রিষ্টীয় বর্ষবরণের রাতে গুলশান-বনানীর হোটেলে অভিযান, মদ ও বিয়ার উদ্ধার"
Crime,Suicide,দুর্গন্ধের উৎস খুঁজতে গিয়ে শ্বশুরবাড়িতে মিলল যুবকের লাশ
Crime,Suicide,মেয়েকে নিয়ে ট্রেনের নিচে ঝাঁপ দিলেন বাক্‌প্রতিবন্ধী বাবা
Crime,Genocide,আন্তর্জাতিক আদালতের প্রধান কৌঁসুলির সঙ্গে জুলাই-আগস্ট গণহত্যা নিয়ে আলোচনা
Crime,Genocide,‘গণহত্যা’র বিচারে জাতিসংঘের সহযোগিতা চেয়েছে জামায়াত
Crime,Organized Crime and Criminal Group,কক্সবাজারে দুই তরুণীকে মারধর: জানা গেল সংঘবদ্ধ চক্রের তথ্য
Crime,Organized Crime and Criminal Group,"অটোরিকশার চালক সেজে ছিনতাই করেন তাঁরা, সংঘবদ্ধ চক্রের নাম ‌‌হামকা গ্রুপ"
Crime,Ammunition,রংপুরে পি'স্ত'ল'স'হ ৪ তরুণ-তরুণীকে আটক করেছে তাজহাট থানা পুলিশ
Crime,Ammunition,পাবনায় সেনাবাহিনীর অভিযানে অস্ত্রসহ সন্ত্রাসী বাবু গ্রেফতার
Crime,Human Trafficking,বরিশালে মানব পাচার মামলায় প্রবাসী দুই ভাই ও ভাবির বিভিন্ন মেয়াদে কারাদণ্ড
Crime,Human Trafficking,মানব পাচার মামলায় চার দিনের রিমান্ডে মিল্টন সমাদ্দার
Corruption,Bribery,"৩ শিক্ষা বোর্ডে অডিটে গিয়ে ৩৯ লাখ টাকা ঘুষ নেওয়ার অভিযোগ, জমা হয় স্বজনের হিসাবে"
Corruption,Bribery,"এনআইডি সংশোধনে ঘুষ লেনদেনের অভিযোগ, নির্বাচন ভবন এলাকায় দুদকের অভিযান"
Corruption,Money laundering,শেখ হাসিনার আমলে পাচার ২৮ লাখ কোটি টাকা
Corruption,Money laundering,ই-অরেঞ্জের মাধ্যমে পাচার ৩৫৮ কোটি টাকা
Accident,Road accident,"ছুটি কাটাতে মোটরসাইকেলে বাড়ি ফিরছিলেন, দুর্ঘটনায় তরুণ নিহত"
Accident,Road accident,"মাহফিল থেকে ফেরার পথে ট্রাকের সঙ্গে ধাক্কা, মোটরসাইকেলের ২ আরোহী নিহত"
Accident,Fire accident,মধ্যরাতে সচিবালয়ে ভয়াবহ আগুন
Accident,Fire accident,"পুরানা পল্টনে একটি ভবনে আগুন, নিয়ন্ত্রণে কাজ করছে ৬ ইউনিট"
Accident,Environmental disaster,কনক
